gen,seed,mean_reward,threshold,s_max,smooth_l,gain_steer,gain_pitch,radius_slowdown
1,4438,-0.7723,0.003349,27.441496,13.447791,0.499092,1.768605,16.628609
1,4501,0.9651,0.002517,27.123254,5.108710,1.169936,1.279704,27.087683
2,2395,-1.0000,0.002517,27.123254,5.108710,1.169936,1.279704,27.087683
3,5069,2.7107,0.002395,26.337942,4.868597,1.147570,1.313539,26.177775
4,5926,-0.7127,0.002404,25.759114,4.862153,1.085246,1.252501,25.678551
5,5835,1.5053,0.002391,23.538065,4.771767,1.429471,1.199164,25.327915
6,2441,-0.2160,0.001881,24.250455,4.774737,1.438574,1.132410,25.509102
7,2244,-0.7419,0.002485,23.948372,5.629291,1.406825,0.998234,26.557170
8,2157,-0.9674,0.002567,23.464482,6.650981,1.395311,1.034610,26.119451
9,6107,1.4915,0.002159,23.233550,6.888113,1.371331,1.020903,25.080334
