gen,seed,mean_reward,gain_steer,gain_pitch,valley_threshold,grid_decay,magnitude_a,smooth_l,safety_window
1,45376,-0.9828,1.174112,1.177047,28.580142,0.965393,14.459345,3.940528,2.018337
2,94444,-0.6631,1.174112,1.177047,28.580142,0.965393,14.459345,3.940528,2.018337
3,69172,-0.6676,1.174112,1.177047,28.580142,0.965393,14.459345,3.940528,2.018337
4,6916,-0.6892,1.174112,1.177047,28.580142,0.965393,14.459345,3.940528,2.018337
5,64798,-0.8482,1.174112,1.177047,28.580142,0.965393,14.459345,3.940528,2.018337
6,55113,1.1747,1.158614,1.156780,26.023739,0.957940,14.445706,3.955623,2.031455
7,15021,1.3709,1.158614,1.156780,26.023739,0.957940,14.445706,3.955623,2.031455
8,28720,-0.6800,1.158614,1.156780,26.023739,0.957940,14.445706,3.955623,2.031455
9,40080,-0.1615,1.185974,1.132176,25.000000,0.961329,14.372724,3.831533,2.091092
10,63698,1.3962,1.185974,1.132176,25.000000,0.961329,14.372724,3.831533,2.091092
11,97954,1.3860,1.185974,1.132176,25.000000,0.961329,14.372724,3.831533,2.091092
12,28835,1.3860,1.185974,1.132176,25.000000,0.961329,14.372724,3.831533,2.091092
13,39470,1.4047,1.185974,1.132176,25.000000,0.961329,14.372724,3.831533,2.091092
14,99889,0.3112,1.187324,1.145592,25.000000,0.963212,14.534899,3.815212,2.104369
15,72030,1.1062,1.198959,1.138397,25.000000,0.957080,14.563914,3.799820,2.099646
16,26074,0.9376,1.206060,1.131263,25.000000,0.962295,14.737435,3.707094,2.203694
17,26607,1.1519,1.221845,1.135930,25.000000,0.962466,14.724313,3.775533,2.234654
18,64847,0.0916,1.212507,1.135785,25.000000,0.965834,14.827440,3.897354,2.117507
19,2884,1.4047,1.212507,1.135785,25.000000,0.965834,14.827440,3.897354,2.117507
20,59519,1.4109,1.212507,1.135785,25.000000,0.965834,14.827440,3.897354,2.117507
